"Basis_Set","Functional","Energy","SIE_estimate","Orbital_excitation"
"def2-QZVPP","HF",-0.4999832978,0,"1s"
"def2-QZVPP","HF",-0.0536190101,0,"2s"
"def2-QZVPP","HF",0.1358932313,0,"2p"
"def2-QZVPP","HF",0.1358932306,0,"2p"
"def2-QZVPP","HF",0.1358932304,0,"2p"
"def2-QZVPP","HF",0.706347919,0,"3s"
"def2-QZVPP","HF",1.5534439763,0,"3d"
"def2-QZVPP","HF",1.5534439762,0,"3d"
"def2-QZVPP","HF",1.5534439761,0,"3d"
"def2-QZVPP","HF",1.5534439758,0,"3d"
"def2-QZVPP","BLYP",-0.497859068,0.00212422979999999,"1s"
"def2-QZVPP","BLYP",-0.0820444476,-0.0284254375,"2s"
"def2-QZVPP","BLYP",0.0994585057,-0.0364347256,"2p"
"def2-QZVPP","BLYP",0.0994585049,-0.0364347257,"2p"
"def2-QZVPP","BLYP",0.0994585047,-0.0364347257,"2p"
"def2-QZVPP","BLYP",0.6444874857,-0.0618604333,"3s"
"def2-QZVPP","BLYP",1.4554622251,-0.0979817512000001,"3d"
"def2-QZVPP","BLYP",1.4482292183,-0.1052147579,"3d"
"def2-QZVPP","BLYP",1.4482292183,-0.1052147578,"3d"
"def2-QZVPP","BLYP",1.4482292179,-0.1052147579,"3d"
"def2-QZVPP","B3LYP",-0.5024069563,-0.00242365849999998,"1s"
"def2-QZVPP","B3LYP",-0.0797900629,-0.0261710528,"2s"
"def2-QZVPP","B3LYP",0.1030777264,-0.0328155049,"2p"
"def2-QZVPP","B3LYP",0.1030777256,-0.032815505,"2p"
"def2-QZVPP","B3LYP",0.1030777254,-0.032815505,"2p"
"def2-QZVPP","B3LYP",0.6552812798,-0.0510666392000001,"3s"
"def2-QZVPP","B3LYP",-0.4999832978,-2.0534272741,"3d"
"def2-QZVPP","B3LYP",1.4680084876,-0.0854354886000002,"3d"
"def2-QZVPP","B3LYP",1.4680084875,-0.0854354886000002,"3d"
"def2-QZVPP","B3LYP",1.4680084872,-0.0854354885999999,"3d"
"def2-QZVPP","B97M-V",-0.5014786684,-0.00149537059999999,"1s"
"def2-QZVPP","B97M-V",-0.0585854934,-0.0049664833,"2s"
"def2-QZVPP","B97M-V",0.1270336382,-0.00885959310000001,"2p"
"def2-QZVPP","B97M-V",0.1270336374,-0.00885959319999999,"2p"
"def2-QZVPP","B97M-V",0.1270336372,-0.00885959320000002,"2p"
"def2-QZVPP","B97M-V",0.6821473153,-0.0242006037000001,"3s"
"def2-QZVPP","B97M-V",1.4983443222,-0.0550996541000002,"3d"
"def2-QZVPP","B97M-V",1.4983838539,-0.0550601223,"3d"
"def2-QZVPP","B97M-V",1.4983838538,-0.0550601223,"3d"
"def2-QZVPP","B97M-V",1.4983838535,-0.0550601223,"3d"
"def2-QZVPP","CAM-B3LYP",-0.4990630912,0.000920206600000029,"1s"
"def2-QZVPP","CAM-B3LYP",-0.0708962355,-0.0172772254,"2s"
"def2-QZVPP","CAM-B3LYP",-0.4999832978,-0.6358765291,"2p"
"def2-QZVPP","CAM-B3LYP",-0.4999832978,-0.6358765284,"2p"
"def2-QZVPP","CAM-B3LYP",-0.4999832978,-0.6358765282,"2p"
"def2-QZVPP","CAM-B3LYP",0.6696960817,-0.0366518373000001,"3s"
"def2-QZVPP","CAM-B3LYP",-0.4999832978,-2.0534272741,"3d"
"def2-QZVPP","CAM-B3LYP",1.4887353079,-0.0647086683,"3d"
"def2-QZVPP","CAM-B3LYP",1.4887353078,-0.0647086683,"3d"
"def2-QZVPP","CAM-B3LYP",1.4887353075,-0.0647086683,"3d"
"def2-QZVPP","LDA",-0.4786225029,0.0213607949,"1s"
"def2-QZVPP","LDA",-0.0654591911,-0.011840181,"2s"
"def2-QZVPP","LDA",0.1238744661,-0.0120187652,"2p"
"def2-QZVPP","LDA",0.1238744653,-0.0120187653,"2p"
"def2-QZVPP","LDA",0.1238744651,-0.0120187653,"2p"
"def2-QZVPP","LDA",0.6900727462,-0.0162751728,"3s"
"def2-QZVPP","LDA",1.5169864328,-0.0364575435000001,"3d"
"def2-QZVPP","LDA",1.5102343456,-0.0432096306,"3d"
"def2-QZVPP","LDA",1.5102343455,-0.0432096306,"3d"
"def2-QZVPP","LDA",1.5102343452,-0.0432096306,"3d"
"def2-QZVPP","wB97M-V",-0.4945936096,0.00538968820000002,"1s"
"def2-QZVPP","wB97M-V",-0.051499636,0.0021193741,"2s"
"def2-QZVPP","wB97M-V",0.1344673557,-0.00142587559999999,"2p"
"def2-QZVPP","wB97M-V",0.1344673549,-0.0014258757,"2p"
"def2-QZVPP","wB97M-V",0.1344673548,-0.00142587560000002,"2p"
"def2-QZVPP","wB97M-V",0.6792856326,-0.0270622864000001,"3s"
"def2-QZVPP","wB97M-V",1.5029542475,-0.0504897288000001,"3d"
"def2-QZVPP","wB97M-V",1.4968364864,-0.0566074898,"3d"
"def2-QZVPP","wB97M-V",1.4968364863,-0.0566074898,"3d"
"def2-QZVPP","wB97M-V",1.496836486,-0.0566074898,"3d"
